word,synonyms,Kannada,English,Hindi
अनङ्ग,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
काम,हयपुच्छी काम्बोजी माषपर्णी महासहा,ಕಾಡುದ್ದಿನ ಗಿಡ,The wild pulse (Phaseolus mungo),वनउड़द
पञ्चशर,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
स्मर,भक्षक घस्मर अद्मर,None,None,None
मनसिज,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
कुसुमेषु,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
अनन्यज,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
पुष्पधन्वन्,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
रतिपति,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
मकरध्वज,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
